x, y, yaw, km, kf, sf
6.97923,1.97951,1.03834,0.105052,0.369317,7.65161
2.00101,-2.00149,-1.04025,-0.789501,0.729976,3.18378
2.97953,-1.92501,-1.05565,-0.473917,0.149263,3.94558
3.97593,-1.97228,-1.04304,-0.300846,-0.153001,4.80593
5.00046,-2.00546,-1.049,-0.202367,-0.290226,5.72505
5.95842,-1.94483,-1.02447,-0.142371,-0.347439,6.6636
6.9914,-1.99307,-1.04477,-0.104218,-0.367338,7.638
0.999056,0.000802211,-1.04398,0.223135,-4.36478,1.06474
1.91973,0.0182867,-1.02679,0.0916233,-2.5458,2.11483
2.99384,0.00620796,-1.02937,0.0545288,-1.82162,3.18424
3.98995,0.0122855,-1.02672,0.045797,-1.36127,4.19763
5.02941,-0.055087,-1.11731,0.0382602,-1.09295,5.21982
6.02584,-0.0570843,-1.10362,0.0305457,-0.928241,6.2776
7.02365,-0.0492319,-1.08939,0.0259992,-0.80207,7.3227
3.00861,1.98372,-1.10501,0.541293,-2.8914,4.16834
3.98343,2.02069,-0.990902,0.363408,-2.1713,5.00981
5.0085,1.98338,-1.08451,0.261432,-1.67135,5.89705
6.01087,1.97977,-1.08298,0.194117,-1.36393,6.85767
6.9475,2.04659,-0.97813,0.147378,-1.16462,7.88082
2.02294,-1.98262,0.0784172,-0.848839,2.66029,3.2476
2.97858,-1.99305,-0.0274574,-0.533329,1.63585,3.8947
3.96677,-1.99661,-0.02905,-0.35095,1.07121,4.68606
4.97181,-1.99406,-0.0192967,-0.243237,0.751994,5.56203
6.01514,-1.99813,0.0105825,-0.175292,0.569194,6.52416
7.03714,-1.9992,0.0171059,-0.1338,0.422232,7.41687
0.95,0,0,0,0,1.0625
1.99,0,0,0,0,2.00833
2.95,0,0,0,0,3.0625
3.99,0,0,0,0,4.0125
4.95,0,0,0,0,5.04167
5.99,0,0,0,0,6.0125
6.95,0,0,0,0,7.04167
2.02294,1.98262,-0.0784172,0.848839,-2.66029,3.2476
2.97858,1.99305,0.0274574,0.533329,-1.63585,3.8947
3.96677,1.99661,0.02905,0.35095,-1.07121,4.68606
4.97181,1.99406,0.0192967,0.243237,-0.751994,5.56203
6.01514,1.99813,-0.0105825,0.175292,-0.569194,6.52416
7.03714,1.9992,-0.0171059,0.1338,-0.422232,7.41687
3.00861,-1.98372,1.10501,-0.541293,2.8914,4.16834
3.98343,-2.02069,0.990902,-0.363408,2.1713,5.00981
5.0085,-1.98338,1.08451,-0.261432,1.67135,5.89705
6.01087,-1.97977,1.08298,-0.194117,1.36393,6.85767
6.9475,-2.04659,0.97813,-0.147378,1.16462,7.88082
0.999056,-0.000802211,1.04398,-0.223135,4.36478,1.06474
1.91973,-0.0182867,1.02679,-0.0916233,2.5458,2.11483
2.99384,-0.00620796,1.02937,-0.0545288,1.82162,3.18424
3.98995,-0.0122855,1.02672,-0.045797,1.36127,4.19763
5.02941,0.055087,1.11731,-0.0382602,1.09295,5.21982
6.02584,0.0570843,1.10362,-0.0305457,0.928241,6.2776
7.02365,0.0492319,1.08939,-0.0259992,0.80207,7.3227
2.00101,2.00149,1.04025,0.789501,-0.729976,3.18378
2.97953,1.92501,1.05565,0.473917,-0.149263,3.94558
3.97593,1.97228,1.04304,0.300846,0.153001,4.80593
5.00046,2.00546,1.049,0.202367,0.290226,5.72505
5.95842,1.94483,1.02447,0.142371,0.347439,6.6636
6.9914,1.99307,1.04477,0.104218,0.367338,7.638
1.97818,-2.02937,-1.02487,-0.783976,0.761852,3.21658
3.0165,-2.01217,-1.03934,-0.471399,0.13431,3.93537
4.02497,-2.04606,-1.05497,-0.298499,-0.162374,4.75876
5.0061,-2.01368,-1.05274,-0.200323,-0.290318,5.68453
5.96772,-1.95473,-1.01792,-0.14075,-0.344408,6.62457
6.99697,-2.00125,-1.04821,-0.103899,-0.367354,7.64713
1.00469,-0.00610449,-1.09301,0.295745,-3.88983,1.03635
1.92602,0.011388,-1.0472,0.124024,-2.31551,2.06276
2.99914,0.00130817,-1.04196,0.0731005,-1.6893,3.11889
3.99488,0.00269715,-1.04303,0.0445945,-1.3665,4.21653
4.99204,0.00712914,-1.0378,0.0339397,-1.12017,5.27764
6.03028,-0.0568974,-1.11168,0.0310993,-0.923063,6.27952
6.98611,0.0167958,-1.03112,0.0241326,-0.813722,7.37231
1.99139,1.99533,-1.06302,0.85003,-3.91305,3.47136
3.01479,1.97728,-1.13121,0.549474,-2.79451,4.14152
3.97483,1.99022,-1.07756,0.365826,-2.13441,4.99932
4.95868,2.02406,-0.999461,0.254742,-1.71694,5.95543
6.01026,1.96206,-1.11458,0.193787,-1.36123,6.86569
7.00053,1.98086,-1.07626,0.149601,-1.14169,7.85136
2.02063,-2.00019,0.058391,-0.858043,2.52127,3.21424
2.98921,-1.996,-0.01433,-0.529393,1.64757,3.91392
3.98067,-1.99356,-0.0178077,-0.347317,1.09161,4.72142
5.06127,-1.99791,0.0507238,-0.24343,0.740137,5.55245
5.94167,-2.00594,-0.0315956,-0.175822,0.557458,6.50379
6.96791,-1.99763,-0.0130494,-0.132709,0.428895,7.46007
0.96,0,0,0,0,1.05
2,0,0,0,0,2
2.96,0,0,0,0,3.05
4,0,0,0,0,4
4.96,0,0,0,0,5.05
6,0,0,0,0,6
6.96,0,0,0,0,7.05
2.02063,2.00019,-0.058391,0.858043,-2.52127,3.21424
2.98921,1.996,0.01433,0.529393,-1.64757,3.91392
3.98067,1.99356,0.0178077,0.347317,-1.09161,4.72142
5.06127,1.99791,-0.0507238,0.24343,-0.740137,5.55245
5.94167,2.00594,0.0315956,0.175822,-0.557458,6.50379
6.96791,1.99763,0.0130494,0.132709,-0.428895,7.46007
1.99139,-1.99533,1.06302,-0.85003,3.91305,3.47136
3.01479,-1.97728,1.13121,-0.549474,2.79451,4.14152
3.97483,-1.99022,1.07756,-0.365826,2.13441,4.99932
4.95868,-2.02406,0.999461,-0.254742,1.71694,5.95543
6.01026,-1.96206,1.11458,-0.193787,1.36123,6.86569
7.00053,-1.98086,1.07626,-0.149601,1.14169,7.85136
1.00469,0.00610449,1.09301,-0.295745,3.88983,1.03635
1.92602,-0.011388,1.0472,-0.124024,2.31551,2.06276
2.99914,-0.00130817,1.04196,-0.0731005,1.6893,3.11889
3.99488,-0.00269715,1.04303,-0.0445945,1.3665,4.21653
4.99204,-0.00712914,1.0378,-0.0339397,1.12017,5.27764
6.03028,0.0568974,1.11168,-0.0310993,0.923063,6.27952
6.98611,-0.0167958,1.03112,-0.0241326,0.813722,7.37231
1.97818,2.02937,1.02487,0.783976,-0.761852,3.21658
